City_ID,Date,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,1596605710,yellowknife,CA,62.46,-114.35,59.0,93,75,8.05
1,1596605936,avarua,CK,-21.21,-159.78,75.2,94,98,11.41
2,1596605937,aklavik,CA,68.22,-135.01,53.6,81,90,6.93
3,1596605937,te anau,NZ,-45.42,167.72,47.01,87,42,0.58
4,1596605937,vaini,TO,-21.2,-175.2,73.4,73,20,4.7
5,1596605938,busselton,AU,-33.65,115.33,61.0,80,7,5.99
6,1596605938,rikitea,PF,-23.12,-134.97,73.15,89,94,11.68
7,1596605938,upernavik,GL,72.79,-56.15,37.58,76,25,6.33
8,1596605875,ushuaia,AR,-54.8,-68.3,50.0,37,20,13.87
9,1596605939,marquette,US,46.53,-87.63,48.99,91,45,3.47
10,1596605939,hermanus,ZA,-34.42,19.23,47.07,71,1,7.9
11,1596605939,san quintin,MX,30.48,-115.95,66.54,87,2,10.54
12,1596605940,bluff,NZ,-46.6,168.33,51.01,85,48,1.99
13,1596605702,cherskiy,RU,68.75,161.3,42.76,70,100,10.71
14,1596605940,gigmoto,PH,13.78,124.39,86.47,69,100,8.59
15,1596605940,hamilton,US,39.18,-84.53,64.0,87,1,4.97
16,1596605940,katherine,AU,-14.47,132.27,87.8,33,17,5.82
17,1596605941,chuy,UY,-33.7,-53.46,55.6,86,52,6.82
18,1596605941,touros,BR,-5.2,-35.46,69.8,94,40,3.36
19,1596605941,olafsvik,IS,64.89,-23.71,49.15,90,100,17.58
20,1596605925,kapaa,US,22.08,-159.32,80.6,69,20,14.99
21,1596605566,pochutla,MX,15.74,-96.47,80.01,89,98,4.18
22,1596605942,ribeira grande,PT,38.52,-28.7,72.52,92,27,4.99
23,1596605942,albany,US,42.6,-73.97,69.01,88,20,3.87
24,1596605942,tiksi,RU,71.69,128.87,64.4,44,0,3.89
25,1596605943,punta arenas,CL,-53.15,-70.92,35.6,80,85,6.93
26,1596605409,lompoc,US,34.64,-120.46,57.2,93,90,9.17
27,1596605943,mataura,NZ,-46.19,168.86,51.01,85,21,1.99
28,1596605943,klaksvik,FO,62.23,-6.59,51.8,100,100,11.41
29,1596605943,matagami,CA,49.75,-77.63,59.0,100,75,3.36
30,1596605645,lavrentiya,RU,65.58,-171.0,45.91,83,67,3.51
31,1596605944,dikson,RU,73.51,80.55,46.92,91,47,21.7
32,1596605944,rio grande,BR,-32.03,-52.1,55.99,96,16,10.45
33,1596605944,clyde river,CA,70.47,-68.59,39.2,100,90,11.41
34,1596605945,bredasdorp,ZA,-34.53,20.04,35.6,93,45,4.7
35,1596605945,lagoa,PT,39.05,-27.98,72.48,93,45,9.33
36,1596605945,iqaluit,CA,63.75,-68.51,57.2,82,40,5.82
37,1596605945,arraial do cabo,BR,-22.97,-42.03,67.78,68,0,9.46
38,1596605946,hilo,US,19.73,-155.09,80.6,69,90,8.05
39,1596605946,hithadhoo,MV,-0.6,73.08,82.15,76,100,13.67
40,1596605910,barrow,US,71.29,-156.79,44.6,81,90,8.05
41,1596605946,karagay,RU,58.27,54.94,66.33,69,71,9.31
42,1596605946,souillac,MU,-20.52,57.52,68.0,64,40,8.05
43,1596605866,chandler,US,33.31,-111.84,100.99,16,40,4.7
44,1596605947,grojec,PL,51.86,20.87,57.0,10,69,7.81
45,1596605947,isangel,VU,-19.55,169.27,70.12,66,54,7.23
46,1596605947,henties bay,NA,-22.12,14.28,57.0,87,35,8.84
47,1596605713,namatanai,PG,-3.67,152.43,83.05,77,73,9.95
48,1596605948,saint-philippe,RE,-21.36,55.77,72.0,46,49,3.36
49,1596605948,nikolskoye,RU,59.7,30.79,64.4,88,75,4.47
50,1596605948,sokolo,ML,14.73,-6.12,76.08,86,78,11.7
51,1596605949,qasigiannguit,GL,68.82,-51.19,41.0,86,3,3.74
52,1596605949,atuona,PF,-9.8,-139.03,78.96,77,12,20.98
53,1596605949,jamestown,US,42.1,-79.24,62.01,93,75,5.82
54,1596605949,koumac,NC,-20.57,164.28,70.99,63,46,3.22
55,1596605950,provideniya,RU,64.38,-173.3,50.0,71,40,17.9
56,1596605950,new norfolk,AU,-42.78,147.06,46.99,73,97,3.0
57,1596605951,glomfjord,NO,66.82,13.97,55.4,93,75,2.24
58,1596605951,tabas,IR,33.6,56.92,91.4,21,0,4.7
59,1596605951,hasaki,JP,35.73,140.83,97.0,74,20,10.29
60,1596605951,severo-kurilsk,RU,50.68,156.12,55.31,84,100,2.13
61,1596605952,faanui,PF,-16.48,-151.75,78.01,75,8,12.1
62,1596605952,nueve de julio,AR,-35.44,-60.88,70.0,65,92,7.0
63,1596605952,tasiilaq,GL,65.61,-37.64,39.2,100,0,1.12
64,1596605953,la ronge,CA,55.1,-105.28,60.8,77,5,4.7
65,1596605953,caravelas,BR,-17.71,-39.25,69.01,81,47,8.9
66,1596605953,los llanos de aridane,ES,28.66,-17.92,71.6,78,90,9.17
67,1596605953,sakakah,SA,29.97,40.21,82.4,30,0,11.41
68,1596605953,urubicha,BO,-15.38,-62.95,66.99,50,0,1.5
69,1596605954,port moresby,PG,-9.44,147.18,82.4,78,75,17.22
70,1596605954,sirur,IN,18.83,74.38,81.93,71,95,15.14
71,1596605954,ilfracombe,GB,51.21,-4.11,64.0,94,61,8.99
72,1596605954,mount pleasant,US,32.79,-79.86,82.0,100,1,7.9
73,1596605955,saskylakh,RU,71.92,114.08,81.46,35,95,11.59
74,1596605955,bambanglipuro,ID,-7.95,110.28,80.92,67,86,12.97
75,1596605955,samarai,PG,-10.62,150.67,77.77,82,47,12.91
76,1596605955,rabat,MA,33.99,-6.84,69.01,93,40,8.05
77,1596605956,vaitape,PF,-16.52,-151.75,78.89,73,7,12.12
78,1596605956,torbay,CA,47.67,-52.73,54.0,93,90,14.99
79,1596605956,ostrovnoy,RU,68.05,39.51,64.04,64,94,16.28
80,1596605957,bandarbeyla,SO,9.49,50.81,87.8,44,100,33.93
81,1596605957,riacho de santana,BR,-13.61,-42.94,59.94,80,63,8.55
82,1596605957,dudinka,RU,69.41,86.18,64.4,72,80,6.71
83,1596605957,longyearbyen,SJ,78.22,15.64,46.4,93,40,8.05
84,1596605958,praia,CV,14.92,-23.51,77.0,83,40,5.82
85,1596605958,ajdabiya,LY,30.76,20.23,82.51,36,0,9.71
86,1596605958,troitsko-pechorsk,RU,62.71,56.2,69.44,57,61,5.01
87,1596605636,ahipara,NZ,-35.17,173.17,55.85,84,87,2.24
88,1596605958,rio gallegos,AR,-51.62,-69.22,39.2,69,88,13.87
89,1596605959,qaanaaq,GL,77.48,-69.36,27.63,86,59,2.89
90,1596605959,serowe,BW,-22.38,26.72,58.03,37,0,2.21
91,1596605959,vigrestad,NO,58.57,5.7,57.99,99,100,5.01
92,1596605960,carnarvon,AU,-24.87,113.63,69.8,64,1,19.46
93,1596605960,butaritari,KI,3.07,172.79,83.55,77,87,14.99
94,1596605960,georgetown,MY,5.41,100.34,89.6,74,20,8.05
95,1596605636,berlevag,NO,70.86,29.09,51.8,93,75,6.93
96,1596605960,galesong,ID,-5.32,119.37,91.4,55,20,12.75
97,1596605961,kitimat,CA,54.05,-128.65,55.4,100,90,3.36
98,1596605888,christchurch,NZ,-43.53,172.63,48.2,87,14,9.17
99,1596605961,mahebourg,MU,-20.41,57.7,68.0,64,40,8.05
100,1596605962,lebu,CL,-37.62,-73.65,49.64,89,33,9.17
101,1596605408,juneau,US,58.3,-134.42,57.0,93,75,10.29
102,1596605962,eatonton,US,33.33,-83.39,75.99,92,5,2.66
103,1596605962,bengkulu,ID,-3.8,102.27,81.12,81,100,12.73
104,1596605963,colesberg,ZA,-30.72,25.1,38.89,79,0,9.6
105,1596605963,xichang,CN,27.9,102.26,85.57,53,44,2.04
106,1596605963,umm kaddadah,SD,13.6,26.69,80.01,63,78,11.14
107,1596605637,padang,ID,-0.95,100.35,86.81,60,98,6.15
108,1596605896,victoria,HK,22.29,114.16,86.0,74,100,11.99
109,1596605964,wote,KE,-1.78,37.63,69.67,64,54,2.98
110,1596605964,kamaishi,JP,39.27,141.88,87.8,48,75,4.7
111,1596605964,saint george,US,37.1,-113.58,87.8,15,1,4.7
112,1596605964,narsaq,GL,60.92,-46.05,46.4,75,20,2.24
113,1596605965,asau,RO,46.43,26.4,68.0,72,0,3.85
114,1596605965,erenhot,CN,43.65,111.98,85.44,27,6,11.48
115,1596605965,bathsheba,BB,13.22,-59.52,80.6,78,40,14.99
116,1596605876,cayenne,GF,4.93,-52.33,73.4,100,20,8.72
117,1596605966,nemuro,JP,43.32,145.57,78.8,88,75,4.7
118,1596605966,providencia,MX,28.72,-111.58,87.01,71,0,8.52
119,1596605966,hobart,AU,-42.88,147.33,46.99,81,75,19.46
120,1596605966,mercedes,AR,-34.65,-59.43,66.99,79,69,1.99
121,1596605966,kavaratti,IN,10.57,72.64,84.2,79,90,13.87
122,1596605967,airai,TL,-8.93,125.41,74.48,51,45,2.06
123,1596605967,rovaniemi,FI,66.5,25.72,57.2,93,75,6.93
124,1596605967,ponta do sol,PT,32.67,-17.1,71.6,78,40,10.29
125,1596605709,comodoro rivadavia,AR,-45.87,-67.5,39.2,69,0,5.82
126,1596605968,kulhudhuffushi,MV,6.62,73.07,82.63,80,100,19.64
127,1596605968,kailua,US,21.4,-157.74,80.6,61,20,9.17
128,1596605968,cockburn town,TC,21.46,-71.14,82.54,84,34,18.72
129,1596605968,cape town,ZA,-33.93,18.42,50.0,65,0,14.99
130,1596605969,yuzhne,UA,46.62,31.1,75.2,57,0,6.71
131,1596605969,castro,BR,-24.79,-50.01,47.84,98,1,4.43
132,1596605969,puerto ayora,EC,-0.74,-90.35,66.99,96,74,1.99
133,1596605710,dunedin,NZ,-45.87,170.5,48.0,85,59,4.0
134,1596605970,najran,SA,17.49,44.13,84.2,45,40,13.87
135,1596605970,ferme-neuve,CA,46.7,-75.45,61.05,96,97,1.99
136,1596605970,mitsamiouli,KM,-11.38,43.28,75.2,73,20,5.82
137,1596605970,geraldton,AU,-28.77,114.6,64.4,68,1,13.87
138,1596605644,baghdad,IQ,33.34,44.4,91.4,38,0,16.11
139,1596605971,port alfred,ZA,-33.59,26.89,54.99,69,89,1.74
140,1596605971,clarence town,AU,-32.58,151.78,61.0,29,0,20.8
141,1596605971,pevek,RU,69.7,170.31,32.86,98,100,13.42
142,1596605972,chatellerault,FR,46.8,0.53,51.8,87,0,3.51
143,1596605802,petrozavodsk,RU,61.78,34.35,62.6,93,75,4.47
144,1596605972,mar del plata,AR,-38.0,-57.56,59.0,100,100,5.82
145,1596605972,fare,PF,-16.7,-151.02,78.44,75,5,11.95
146,1596605973,raalte,NL,52.39,6.28,59.0,77,77,5.99
147,1596605973,roald,NO,62.58,6.13,55.4,82,100,11.41
148,1596605973,mayo,US,38.89,-76.51,73.4,94,20,6.13
149,1596605973,nome,US,64.5,-165.41,55.99,66,40,6.93
150,1596605974,kidal,ML,18.44,1.41,79.79,67,21,7.43
151,1596605974,thompson,CA,55.74,-97.86,66.2,68,20,4.7
152,1596605974,saint-francois,FR,46.42,3.91,55.0,93,0,0.96
153,1596605974,esperance,AU,-33.87,121.9,59.0,87,75,20.8
154,1596605975,srednekolymsk,RU,67.45,153.68,63.27,46,85,9.6
155,1596605975,yichun,CN,47.7,128.9,73.51,74,96,4.5
156,1596605975,bida,NG,9.08,6.02,70.5,89,32,2.66
157,1596605566,royan,FR,45.63,-1.03,55.4,81,0,3.85
158,1596605976,mirnyy,RU,62.54,113.96,80.6,24,97,11.18
159,1596605976,gornyy,RU,55.12,83.91,72.68,61,5,15.37
160,1596605976,alofi,NU,-19.06,-169.92,75.2,94,14,3.36
161,1596605977,tonantins,BR,-2.87,-67.8,73.76,70,94,0.58
162,1596605977,puerto del rosario,ES,28.5,-13.86,71.6,78,40,16.11
163,1596605977,jarocin,PL,51.97,17.5,62.01,97,45,3.47
164,1596605977,pelym,RU,61.01,62.0,74.52,42,17,1.9
165,1596605978,bethel,US,41.37,-73.41,71.6,83,40,4.7
166,1596605978,petropavlovsk-kamchatskiy,RU,53.05,158.65,66.2,63,7,13.42
167,1596605978,yayva,RU,59.33,57.26,66.0,68,62,3.0
168,1596605978,vologda,RU,59.22,39.89,66.72,76,100,11.81
169,1596605979,sabha,LY,27.04,14.43,86.49,16,0,10.85
170,1596605979,kaitangata,NZ,-46.28,169.85,48.99,71,29,4.0
171,1596605979,hofn,IS,64.25,-15.21,50.49,89,100,22.64
172,1596605979,waddan,LY,29.16,16.14,86.95,20,0,10.4
173,1596605980,yar-sale,RU,66.83,70.83,70.03,44,0,11.41
174,1596605980,acapulco,MX,16.86,-99.89,79.9,88,91,7.07
175,1596605483,magadan,RU,59.57,150.8,64.24,54,60,10.65
176,1596605757,redlands,US,34.06,-117.18,73.4,60,1,6.93
177,1596605981,san pedro,PH,14.35,121.02,91.4,59,100,12.75
178,1596605807,bilibino,RU,68.05,166.44,49.75,58,100,7.47
179,1596605981,kavieng,PG,-2.57,150.8,83.3,78,98,15.14
180,1596605981,norman wells,CA,65.28,-126.83,59.0,100,90,13.87
181,1596605982,iracoubo,GF,5.48,-53.2,76.51,88,22,7.61
182,1596605565,ambilobe,MG,-13.2,49.05,81.52,41,0,3.36
183,1596605982,aldan,RU,58.6,125.39,73.31,40,80,10.47
184,1596605982,naze,JP,28.37,129.48,89.6,70,75,9.17
185,1596605415,suez,EG,29.97,32.53,80.8,48,0,5.73
186,1596605643,saint-augustin,CA,51.23,-58.65,53.37,86,80,2.57
187,1596605865,kamloops,CA,50.67,-120.32,77.0,41,20,6.93
188,1596605983,itarema,BR,-2.92,-39.92,77.31,72,70,17.36
189,1596605983,suclayin,PH,15.76,121.55,88.54,60,100,7.61
190,1596605984,skopin,RU,53.82,39.55,62.01,79,0,1.01
191,1596605561,avera,US,33.19,-82.53,73.4,66,40,3.36
192,1596605984,kodiak,US,57.79,-152.41,64.4,59,1,9.17
193,1596605984,shamkhal,RU,43.06,47.34,82.4,28,0,13.42
194,1596605723,tiznit,MA,29.58,-9.5,68.43,47,0,2.73
195,1596605985,chokurdakh,RU,70.63,147.92,61.0,52,52,2.06
196,1596605985,katsuura,JP,35.13,140.3,95.0,63,20,12.75
197,1596605985,ayagoz,KZ,47.97,80.44,83.62,30,0,10.71
198,1596605985,troina,IT,37.79,14.6,75.0,88,20,9.17
199,1596605986,senador jose porfirio,BR,-2.59,-51.95,73.09,87,5,4.18
200,1596605986,groningen,NL,53.25,6.75,61.0,72,100,8.05
201,1596605986,adrar,MR,20.5,-10.07,88.84,44,72,20.85
202,1596605987,port elizabeth,ZA,-33.92,25.57,50.0,87,75,8.05
203,1596605987,sitka,US,57.05,-135.33,57.2,87,90,12.75
204,1596605987,kiama,AU,-34.68,150.87,62.01,44,0,17.0
205,1596605988,kuching,MY,1.55,110.33,78.8,83,40,1.12
206,1596605988,okha,RU,53.57,142.95,59.11,73,100,12.26
207,1596605988,charters towers,AU,-20.1,146.27,78.71,36,17,5.5
208,1596605988,drayton valley,CA,53.22,-114.99,64.0,76,16,5.01
209,1596605989,tuktoyaktuk,CA,69.45,-133.04,48.2,87,90,6.93
210,1596605982,liverpool,GB,53.41,-2.98,64.99,88,75,9.17
211,1596605989,jiexiu,CN,37.02,111.91,68.47,88,100,5.97
212,1596605989,floro,NO,61.6,5.03,51.8,87,75,20.8
213,1596605919,kahului,US,20.89,-156.47,82.4,58,40,17.22
214,1596605990,parkes,AU,-33.13,148.18,53.01,49,0,1.01
215,1596605990,ilo,PE,-17.64,-71.34,56.84,78,26,5.21
216,1596605990,moerai,PF,-22.43,-151.33,71.58,69,79,11.12
217,1596605991,baykit,RU,61.67,96.37,75.79,38,87,9.86
218,1596605991,margate,GB,51.38,1.39,64.0,80,17,5.01
219,1596605991,halifax,CA,44.65,-63.57,71.01,93,90,3.36
220,1596605991,poum,NC,-20.23,164.02,71.29,65,2,4.12
221,1596605991,fagernes,NO,60.99,9.23,45.0,93,100,5.01
222,1596605725,vao,NC,-22.67,167.48,68.14,63,72,6.31
223,1596605992,garissa,KE,-0.45,39.64,78.64,63,50,19.66
224,1596605908,lhokseumawe,ID,5.18,97.15,88.75,58,100,7.2
225,1596605992,beringovskiy,RU,63.05,179.32,54.43,70,31,7.65
226,1596605992,teruel,ES,40.67,-0.67,68.0,93,75,4.7
227,1596605993,nsanje,MW,-16.92,35.26,74.91,58,0,1.92
228,1596605644,moose factory,CA,51.26,-80.61,53.6,93,90,4.7
229,1596605993,zirandaro,MX,18.45,-100.98,78.96,77,85,0.63
230,1596605993,sao jose da coroa grande,BR,-8.9,-35.15,72.81,82,36,12.59
231,1596605994,itacurubi de la cordillera,PY,-25.45,-56.85,62.82,61,0,4.79
232,1596605994,czersk,PL,53.8,17.98,64.0,100,0,2.3
233,1596605994,leningradskiy,RU,69.38,178.42,35.76,89,99,13.94
234,1596605725,seoul,KR,37.57,126.98,84.2,83,75,5.32
235,1596605995,pakokku,MM,21.33,95.1,89.87,63,99,15.35
236,1596605995,tocopilla,CL,-22.09,-70.2,57.18,67,30,4.23
237,1596605995,kirakira,SB,-10.45,161.92,82.38,78,64,10.45
238,1596605995,mantua,IT,45.17,10.78,66.0,84,19,1.01
239,1596605996,guerrero negro,MX,27.98,-114.06,68.85,85,0,10.8
240,1596605996,glendive,US,47.11,-104.71,69.8,52,1,13.87
241,1596605996,arman,RU,59.7,150.17,67.12,52,62,7.0
242,1596605997,zhigansk,RU,66.77,123.37,74.37,40,13,10.58
243,1596605997,doha,QA,25.29,51.53,104.0,31,11,9.17
244,1596605997,katima mulilo,NA,-17.5,24.27,42.8,70,0,1.12
245,1596605989,istanbul,TR,41.04,28.98,77.0,61,20,11.41
246,1596605998,ozernovskiy,RU,51.5,156.52,55.04,82,52,4.9
247,1596605632,grindavik,IS,63.84,-22.43,48.2,100,90,13.87
248,1596605566,aksu,CN,41.12,80.26,93.43,15,94,3.65
249,1596605722,bubaque,GW,11.28,-15.83,79.9,81,97,21.63
250,1596605999,mata,PT,40.68,-7.46,68.0,83,2,3.96
251,1596605999,shelopugino,RU,51.65,117.56,65.86,73,99,3.09
252,1596605999,sibenik,HR,43.73,15.91,69.8,64,18,4.7
253,1596605999,tuatapere,NZ,-46.13,167.68,51.01,85,69,1.99
254,1596606000,karakol,KG,42.49,78.39,75.4,31,0,7.09
255,1596606000,terme,TR,41.21,36.97,71.6,73,0,2.24
256,1596606000,louga,RU,58.74,29.85,61.34,96,100,6.85
257,1596606000,mahon,ES,39.89,4.27,69.8,83,20,4.7
258,1596606001,ranong,TH,9.97,98.63,86.0,84,75,4.7
259,1596606001,cabo san lucas,MX,22.89,-109.91,84.99,80,46,1.01
260,1596606001,keti bandar,PK,24.14,67.45,89.44,63,88,8.84
261,1596606002,wakkanai,JP,45.41,141.67,60.8,100,75,12.75
